The underlying securities code,The underlying securities referred to,Today financing balance (yuan),Today financing the purchase amount (yuan),Today financing repayments (yuan),Today's trading margin,Today the amount of short selling,Today margin to repay the amount,date,name,Closing price,Highest Price,Lowest,Opening price,Before closing,Change Amount,Quote change,Turnover,Volume,Turnover,The total market capitalization,Market capitalization
600111,Baotou Steel Rare Earth,1743394065,75866773,90094571,1251861,795176,801681,2012-10-30,Baotou Steel Rare Earth,27.71,28,27.25,27.25,27.35,0.36,1.3163,1.8466,27320617,756350249,67114839240,40996109654
600111,Baotou Steel Rare Earth,1790062141,98312231,51644155,1295461,1399971,1356371,2012-10-31,Baotou Steel Rare Earth,28.47,28.58,27.58,27.77,27.71,0.76,2.7427,1.8789,27798465,784307626,68955592680,42120506743
600111,Baotou Steel Rare Earth,1802704097,213214185,200572229,1297676,1524148,1521933,2012-11-01,Baotou Steel Rare Earth,30.96,31.1,28.65,28.68,28.47,2.49,8.746,4.4999,66575175,2013801038,74986482240,45804386680
600111,Baotou Steel Rare Earth,1900235119,219163074,121632052,1324876,1427217,1400017,2012-11-02,Baotou Steel Rare Earth,30.95,31.16,30.02,30.7,30.96,-0.01,-0.0323,3.4509,51055408,1567828478,74962261800,45789591981
600111,Baotou Steel Rare Earth,1838124125,115908722,178019716,1341133,999322,983065,2012-11-05,Baotou Steel Rare Earth,31.07,31.37,30.57,30.75,30.95,0.12,0.3877,2.1834,32302106,1003217359,75252907080,45967128364
600111,Baotou Steel Rare Earth,1901337097,190182921,126969949,1191412,1380003,1529724,2012-11-06,Baotou Steel Rare Earth,31.98,32,30.21,31.32,31.07,0.91,2.9289,3.2344,47852031,1491013754,77456967120,47313445931
600111,Baotou Steel Rare Earth,1988983452,251787551,164141196,1462912,1609458,1337958,2012-11-07,Baotou Steel Rare Earth,33.32,34.1,31.69,31.98,31.98,1.34,4.1901,5.0201,74270215,2467060521,80702506080,49295935535
600111,Baotou Steel Rare Earth,2021357984,157550053,125175521,1417995,1261637,1306554,2012-11-08,Baotou Steel Rare Earth,32.57,33.36,32.4,32.99,33.32,-0.75,-2.2509,2.7299,40387790,1328419640,78885973080,48186333145
600111,Baotou Steel Rare Earth,1979894160,83463883,124927707,1363082,978890,1033803,2012-11-09,Baotou Steel Rare Earth,32.28,33.2,32.27,32.63,32.57,-0.29,-0.8904,2.1228,31406099,1027185084,78183580320,47757286887
600111,Baotou Steel Rare Earth,2005413833,138788430,113268757,1435339,1314791,1242534,2012-11-12,Baotou Steel Rare Earth,33.39,33.43,32.02,32.02,32.28,1.11,3.4387,2.5633,37922536,1252882329,80872049160,49399498425
600111,Baotou Steel Rare Earth,1968963001,108331549,144782381,1495468,1367520,1307391,2012-11-13,Baotou Steel Rare Earth,32.63,34.15,32.48,33.7,33.39,-0.76,-2.2761,3.1468,46555909,1558764121,79031295720,48275101336
600111,Baotou Steel Rare Earth,1988291624,121812673,102484050,1512875,1404610,1387203,2012-11-14,Baotou Steel Rare Earth,33.95,34.1,32.25,32.95,32.63,1.32,4.0454,3.1603,46755185,1560059030,82228393800,50228001543
600111,Baotou Steel Rare Earth,1977954278,99490504,109827850,1497275,1288311,1303911,2012-11-15,Baotou Steel Rare Earth,32.79,34.05,32.76,33.6,33.95,-1.16,-3.4168,2.9727,43980931,1475684064,79418822760,48511816513
600111,Baotou Steel Rare Earth,1959989120,116344959,134310117,1505823,1306574,1298026,2012-11-16,Baotou Steel Rare Earth,32.72,33.05,31.46,32.84,32.79,-0.07,-0.2135,2.6441,39118306,1263918814,79249279680,48408253623
600111,Baotou Steel Rare Earth,1970437516,106885532,96437136,1577752,1061672,989743,2012-11-19,Baotou Steel Rare Earth,33.64,33.68,32.2,32.69,32.72,0.92,2.8117,2.2952,33956313,1122311346,81477560160,49769365889
